業界,企業名,プログラム名,締め切り日,ステータス,開催期間,備考
IT・メガベンチャー,サイボウズ,エンジニア（第1期）,4/28,済,,
IT・メガベンチャー,U-NEXT HOLDINGS,-,4/30,済,,
IT・メガベンチャー,GMOインターネット,-,4/30,済,,
IT・メガベンチャー,リクルート,データスペシャリスト,5/8,済,,
IT・メガベンチャー,DeNA,デザイナー,5/11,済,,
IT・メガベンチャー,サイボウズ,エンジニア（第2期）,5/12,済,,
IT・メガベンチャー,ソフトバンク,-,5/18,済,,
IT・メガベンチャー,富士通,職場受入型・有償,5/26,済,,
IT・メガベンチャー,日立システムズ,-,5/26,済,,
IT・メガベンチャー,サイバーエージェント,-,5/28,済,,
IT・メガベンチャー,Visional,プロダクト職,5/29,済,,
IT・メガベンチャー,電通デジタル,-,5/29,済,,
IT・メガベンチャー,レバレジーズ,Webエンジニア向け,5/30,本日,,
IT・メガベンチャー,メルカリ,就業型インターン（エンジニア・PM・データアナリスト）,5/31,未,,
IT・メガベンチャー,ラクスル,短期3days〜就業型,5/31,未,,
IT・メガベンチャー,フューチャー,Project Camp / Engineer Camp,5/31,未,9月〜,選考直結型
IT・メガベンチャー,楽天,エンジニア,6/2,未,,
IT・メガベンチャー,Sky,第1ターム,6/3,未,,
IT・メガベンチャー,チームラボ,サマーインターンシップ,6/8,未,,
IT・メガベンチャー,チームラボ,サマーインターンシップ（第2期）,6/12,未,,
IT・メガベンチャー,DMM,エンジニア向け DMM Sprint,6/19,未,,
IT・メガベンチャー,GMOインターネット,テクノロジー（研究開発職）,6/19,未,,
IT・メガベンチャー,PKSHA Technology,アルゴリズムエンジニア,6/30,未,,
IT・メガベンチャー,ギフティ,エンジニア（企画〜実装）,6/30,未,,
IT・メガベンチャー,サイバーエージェント,3days インターンシップ,7/1,未,,
IT・メガベンチャー,ログラス,5days エンジニア職,7/31,未,,
IT・メガベンチャー,レバレジーズ,Leverages Summer Internship,7/31,未,,
コンサル・シンクタンク,PwCコンサルティング,-,5/11,済,,
コンサル・シンクタンク,PwCアドバイザリー,-,5/29,済,,
コンサル・シンクタンク,マッキンゼー,国内大学新卒採用インターン,5/31,未,8月,約20名・選考直結
コンサル・シンクタンク,デロイト トーマツ,Summer Job（複数部門）,5/31,未,,
コンサル・シンクタンク,日本総合研究所,ITサービス・戦略コンサル等,6/1,未,,複数コース
コンサル・シンクタンク,BCG,-,6/3,未,,
コンサル・シンクタンク,ベイン・アンド・カンパニー,-,6/10,未,,
コンサル・シンクタンク,アクセンチュア,-,6/18,未,,
コンサル・シンクタンク,PwCコンサルティング,（別プログラム）,6/19,未,,
コンサル・シンクタンク,博報堂コンサルティング,-,6/19,未,,
コンサル・シンクタンク,EYストラテジー・アンド・カンパニー,-,6/30,未,,
コンサル・シンクタンク,KPMG FAS,-,6/30,未,,
外資金融,モルガン・スタンレー,情報技術部門,5/7,済,,
外資金融,ゴールドマン・サックス,投資銀行部門,5/31,未,8〜9月,
外資金融,モルガン・スタンレー,Summer Insights Program,5/31,未,,
外資金融,UBSグループ,Summer Job（対面）,5/31,未,,
外資金融,J.P.モルガン,国内サマー・ワークショップ（複数部門）,要確認,未,8/4〜9/11（部門により異なる）,コーポレート8/4-6・IB8/27-29・マーケッツ8/20-22等
外資金融,ブラックロック,サマーインターン,要確認,未,8/24〜1週間,
国内金融,三菱UFJ銀行,システムデジタル,5/18,済,,
国内金融,NRI,ITソリューション（先行受付）,5/26,済,,
国内金融,第一生命,-,5/29,済,,
国内金融,バンク・オブ・アメリカ,グローバルテクノロジー,5/31,未,,
国内金融,KPMG税理士法人,-,5/31,未,,
国内金融,日本政策金融公庫,-,5/31,未,,
国内金融,三菱UFJニコス,-,7/6,未,,
商社,丸紅,Marubeni Summer Internship,5/31,未,8月〜,
商社,三井物産,夏の1dayプログラム「"志"ワークショップ」,7/22,未,8/18・8/22・8/27・9/4・9/9（各1day）,対面（本店）
商社,住友商事,Sumisho Design Internship,要確認,未,8月下旬・5日間,約100名募集
商社,三菱商事,MC Gateway Session,8/6,未,8/7（1day・オンライン）,
商社,伊藤忠商事,サマーインターン,要確認,未,,公式サイトで要確認
メーカー・電機・精密,東芝,-,5/28,済,,
メーカー・電機・精密,日本製鉄,-,5/31,未,,
メーカー・電機・精密,神戸製鋼,-,5/31,未,,
メーカー・電機・精密,積水化学,-,5/31,未,,
メーカー・電機・精密,花王,-,5/31,未,,
メーカー・電機・精密,ソニーセミコンダクタソリューションズ（SSS）,-,6/1,未,8/24〜9/18（2〜4週間）,
メーカー・電機・精密,ソニーセミコンダクタマニュファクチャリング（SCK）,-,6/8,未,8/24〜9/4（1〜2週間）,
メーカー・電機・精密,キーエンス,早期選考直結オンライン説明会,5/30,本日,,ビジネス・エンジニア・S職
メーカー・電機・精密,キーエンス,ビジネス職1day仕事体験,5〜8月（随時）,未,,公式サイトで要確認
メーカー・電機・精密,ソニー（本体）,サマーインターン,要確認,未,8〜9月,公式マイページで確認
インフラ・エネルギー,大阪ガス都市開発,-,5/31,未,,
インフラ・エネルギー,中部電力グループ,-,6/24,未,,
インフラ・エネルギー,出光興産,-,6/25,未,,
インフラ・エネルギー,JR東海,-,6/26,未,,
消費財・広告・メディア,インテージ,マーケティングコース,5/31,未,7月,
消費財・広告・メディア,日本経済新聞社,SWE / データサイエンティスト,5/31,未,,
消費財・広告・メディア,P&G ジャパン,-,6/29,未,,
